Filename,Labels
000.jpg,red admiral
001.jpg,straited queen
002.jpg,metalmark
003.jpg,pipevine swallow
004.jpg,scarce swallow
005.jpg,straited queen
006.jpg,question mark
007.jpg,paper kite
008.jpg,crimson patch
009.jpg,beckers white
010.jpg,an 88
011.jpg,question mark
012.jpg,sixspot burnet
013.jpg,silver spot skipper
014.jpg,red admiral
015.jpg,scarce swallow
016.jpg,beckers white
017.jpg,peacock
018.jpg,red spotted purple
019.jpg,julia
020.jpg,american snoot
021.jpg,skipper
022.jpg,clodius parnassian
023.jpg,orange oakleaf
024.jpg,pipevine swallow
025.jpg,scarce swallow
026.jpg,mangrove skipper
027.jpg,painted lady
028.jpg,great eggfly
029.jpg,question mark
030.jpg,beckers white
031.jpg,paper kite
032.jpg,malachite
033.jpg,copper tail
034.jpg,julia
035.jpg,cabbage white
036.jpg,adonis
037.jpg,beckers white
038.jpg,two barred flasher
039.jpg,skipper
040.jpg,crimson patch
041.jpg,two barred flasher
042.jpg,banded peacock
043.jpg,sootywing
044.jpg,straited queen
045.jpg,red spotted purple
046.jpg,indra swallow
047.jpg,red admiral
048.jpg,american snoot
049.jpg,clouded sulphur
050.jpg,peacock
051.jpg,metalmark
052.jpg,ulyses
053.jpg,beckers white
054.jpg,sootywing
055.jpg,chestnut
056.jpg,grey hairstreak
057.jpg,southern dogface
058.jpg,pine white
059.jpg,orange oakleaf
060.jpg,orchard swallow
061.jpg,american snoot
062.jpg,indra swallow
063.jpg,indra swallow
064.jpg,viceroy
065.jpg,cabbage white
066.jpg,painted lady
067.jpg,black hairstreak
068.jpg,chestnut
069.jpg,eastern coma
070.jpg,mangrove skipper
071.jpg,yellow swallow tail
072.jpg,chestnut
073.jpg,metalmark
074.jpg,clouded sulphur
075.jpg,mangrove skipper
076.jpg,orange oakleaf
077.jpg,zebra long wing
078.jpg,clodius parnassian
079.jpg,adonis
080.jpg,southern dogface
081.jpg,copper tail
082.jpg,purple hairstreak
083.jpg,scarce swallow
084.jpg,banded peacock
085.jpg,gold banded
086.jpg,purple hairstreak
087.jpg,eastern coma
088.jpg,an 88
089.jpg,southern dogface
090.jpg,american snoot
091.jpg,painted lady
092.jpg,metalmark
093.jpg,crimson patch
094.jpg,red admiral
095.jpg,scarce swallow
096.jpg,grey hairstreak
097.jpg,purple hairstreak
098.jpg,great eggfly
099.jpg,wood satyr
100.jpg,orchard swallow
101.jpg,mangrove skipper
102.jpg,clodius parnassian
103.jpg,banded peacock
104.jpg,malachite
105.jpg,scarce swallow
106.jpg,gold banded
107.jpg,skipper
108.jpg,yellow swallow tail
109.jpg,clouded sulphur
110.jpg,southern dogface
111.jpg,pine white
112.jpg,orange tip
113.jpg,gold banded
114.jpg,monarch
115.jpg,orchard swallow
116.jpg,red admiral
117.jpg,american snoot
118.jpg,grey hairstreak
119.jpg,wood satyr
120.jpg,mangrove skipper
121.jpg,clouded sulphur
122.jpg,wood satyr
123.jpg,red admiral
124.jpg,indra swallow
125.jpg,great eggfly
126.jpg,grey hairstreak
127.jpg,red spotted purple
128.jpg,malachite
129.jpg,orange tip
130.jpg,orchard swallow
131.jpg,malachite
132.jpg,great eggfly
133.jpg,zebra long wing
134.jpg,gold banded
135.jpg,scarce swallow
136.jpg,monarch
137.jpg,cabbage white
138.jpg,red spotted purple
139.jpg,two barred flasher
140.jpg,morning cloak
141.jpg,yellow swallow tail
142.jpg,an 88
143.jpg,cabbage white
144.jpg,large marble
145.jpg,straited queen
146.jpg,zebra long wing
147.jpg,orchard swallow
148.jpg,an 88
149.jpg,sixspot burnet
150.jpg,skipper
151.jpg,orange tip
152.jpg,orange oakleaf
153.jpg,pine white
154.jpg,an 88
155.jpg,clodius parnassian
156.jpg,zebra long wing
157.jpg,southern dogface
158.jpg,copper tail
159.jpg,painted lady
160.jpg,purple hairstreak
161.jpg,two barred flasher
162.jpg,malachite
163.jpg,wood satyr
164.jpg,orchard swallow
165.jpg,painted lady
166.jpg,copper tail
167.jpg,silver spot skipper
168.jpg,copper tail
169.jpg,clouded sulphur
170.jpg,paper kite
171.jpg,grey hairstreak
172.jpg,large marble
173.jpg,monarch
174.jpg,painted lady
175.jpg,viceroy
176.jpg,monarch
177.jpg,pipevine swallow
178.jpg,red spotted purple
179.jpg,morning cloak
180.jpg,an 88
181.jpg,chestnut
182.jpg,julia
183.jpg,monarch
184.jpg,great eggfly
185.jpg,crecent
186.jpg,skipper
187.jpg,clouded sulphur
188.jpg,wood satyr
189.jpg,indra swallow
190.jpg,banded peacock
191.jpg,crimson patch
192.jpg,ulyses
193.jpg,monarch
194.jpg,cabbage white
195.jpg,purple hairstreak
196.jpg,black hairstreak
197.jpg,julia
198.jpg,yellow swallow tail
199.jpg,crecent
200.jpg,southern dogface
201.jpg,peacock
202.jpg,sixspot burnet
203.jpg,sootywing
204.jpg,wood satyr
205.jpg,pine white
206.jpg,red spotted purple
207.jpg,an 88
208.jpg,large marble
209.jpg,sixspot burnet
210.jpg,cabbage white
211.jpg,morning cloak
212.jpg,grey hairstreak
213.jpg,red admiral
214.jpg,painted lady
215.jpg,adonis
216.jpg,viceroy
217.jpg,straited queen
218.jpg,yellow swallow tail
219.jpg,black hairstreak
220.jpg,sixspot burnet
221.jpg,two barred flasher
222.jpg,pipevine swallow
223.jpg,silver spot skipper
224.jpg,skipper
225.jpg,zebra long wing
226.jpg,morning cloak
227.jpg,painted lady
228.jpg,question mark
229.jpg,malachite
230.jpg,viceroy
231.jpg,grey hairstreak
232.jpg,painted lady
